RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Spencer Dinwiddie;Dal;G;29.7;29;31.4;65.4;22.2;11;79;0.823;179;0.514;184;0.413;0.567;0.6;16.4;3.3;6.3;5.3;27.2;0.97;0.28;1.69;8.4;121;109.2
;Donte DiVincenzo;Gol;G;25.88;23;20.5;42.8;15.1;19.3;20;0.8;43;0.419;86;0.372;0.512;0.537;6.4;4.1;11.1;2.7;16.8;1.17;0.09;1.43;8.1;106.4;105.1
;Luka Doncic;Dal;F-G;23.81;27;36.6;76.3;38;11.8;277;0.729;386;0.588;225;0.347;0.563;0.607;33;8.3;13.5;8.7;47.8;1.59;0.63;3.63;14.6;120.9;104.4
;Tyler Dorsey;Dal;G;26.84;2;3.5;7.2;32.8;0;0;0;3;1;2;0.5;0.9;0.9;4.5;1;17.2;0;0;0;0;0;0;;
;Luguentz Dort;Okc;G;23.67;29;30.3;63.1;20.6;10.1;97;0.753;192;0.464;156;0.327;0.476;0.517;13.9;4.5;7.7;2.5;11.4;1.03;0.34;1.52;7.1;107.2;107
;Ayo Dosunmu;Chi;G;22.92;27;26.8;55.8;15.9;14.7;27;0.852;135;0.607;79;0.329;0.565;0.587;9.8;3.1;6.7;2.8;14.7;0.63;0.33;1.44;6.6;110.6;108.9
;Devon Dotson;Was;G;23.38;5;10;20.8;10.5;25;0;0;6;0;3;0.333;0.167;0.167;0.6;2;11.1;1.4;16.8;0.8;0;0.6;4.8;82.3;96.5
;Jeff Dowtin Jr.;Tor;G;25.61;9;7.4;15.5;12.3;5.1;1;1;14;0.571;4;0.25;0.528;0.542;2.2;1.1;8.5;0.9;16.9;0;0.11;0.11;7;128.1;114.3
;Goran Dragic;Chi;G;36.62;27;17.3;35.9;21.9;14;34;0.647;111;0.477;77;0.39;0.521;0.537;8.1;1.6;5.2;3.4;28.4;0.22;0.15;1.22;8.2;108.4;111
;Andre Drummond;Chi;C;29.36;22;13.9;28.9;20.9;17.6;34;0.588;105;0.571;2;0;0.561;0.574;6.4;7.1;29.1;0.9;9.3;0.64;0.36;1.18;9.9;113.1;94
